"ROI.name"	"ROI.id"	"point"	"x"	"y"
"83"	"C1"	6	8	599.129779952231	-76.2811857919879
"84"	"C1"	6	9	601.576115356639	-86.5113156649658
"85"	"C1"	6	10	593.681123824232	-97.0750367294539
"86"	"C1"	6	11	588.67725595158	-101.411722219086
"87"	"C1"	6	12	591.568379611334	-111.530655028227
"88"	"C1"	6	13	591.345985483661	-120.092828943654
"89"	"C1"	6	14	584.562964589621	-122.427967284225
"90"	"C1"	6	15	568.772981524808	-124.540711497123
"91"	"C1"	6	16	556.652501566605	-126.875849837694
"92"	"C1"	6	17	551.537436630116	-127.765426348388
"93"	"C1"	7	1	592.108405236494	-119.873271443687
"94"	"C1"	7	2	592.275195497086	-111.532342009191
"95"	"C1"	7	3	589.537405687392	-101.689335788626
"96"	"C1"	7	4	594.100388703548	-97.5826510740851
"97"	"C1"	7	5	602.348896569425	-86.8635524603663
"98"	"C1"	7	6	599.704338766182	-76.0818937240679
"99"	"C1"	7	7	609.774001170838	-69.0636441693077
"100"	"C1"	7	8	618.724812197199	-75.3698973924256
"101"	"C1"	7	9	627.370481938571	-76.4887487707207
"102"	"C1"	7	10	636.016151679942	-68.6567891226549
"103"	"C1"	7	11	644.763535182977	-73.3356221591617
"104"	"C1"	7	12	654.934911349296	-84.7275634654393
"105"	"C1"	7	13	663.98743613732	-87.9824038386614
"106"	"C1"	7	14	669.07312422048	-101.612047901529
"107"	"C1"	7	15	667.750845318858	-114.122840586102
"108"	"C1"	7	16	663.68229485233	-120.022238762567
"109"	"C1"	7	17	655.036625110959	-122.36165528082
"110"	"C1"	7	18	643.73071533701	-129.518619925806
"111"	"C1"	7	19	636.263439039101	-135.698434793042
"112"	"C1"	7	20	624.676286163035	-144.71066480776
"113"	"C1"	7	21	617.209009865125	-149.088033672051
"114"	"C1"	7	22	612.831641000834	-137.243388509851
"115"	"C1"	7	23	605.621856989059	-126.943697064458
"116"	"C1"	7	24	602.531949555441	-122.566328200167
"117"	"C1"	7	25	597.382103832745	-123.853789630841
"118"	"C1"	8	1	671.069562523175	-122.223286743539
"119"	"C1"	8	2	665.132175370941	-119.90625761096
"120"	"C1"	8	3	668.752533390596	-113.82405613794
"121"	"C1"	8	4	670.345490919244	-102.238910475046
"122"	"C1"	8	5	665.276989691728	-87.9022927172135
"123"	"C1"	8	6	673.386591655754	-85.7300779054207
"124"	"C1"	8	7	687.433580772014	-90.5089504913648
"125"	"C1"	8	8	696.267254339971	-92.8259796239437
"126"	"C1"	8	9	702.639084454563	-98.7633667761772
"127"	"C1"	8	10	714.079415796672	-109.624440835141
"128"	"C1"	8	11	715.093116042175	-123.816244272187
"129"	"C1"	8	12	700.322055321984	-140.325076841812
"130"	"C1"	8	13	691.633196074813	-134.242875368792
"131"	"C1"	8	14	680.337679053491	-128.160673895773
"132"	"C1"	9	1	701.209945495425	-140.760763411412
"133"	"C1"	9	2	716.081475782134	-124.246447802334
"134"	"C1"	9	3	714.957464772093	-109.634304671788
"135"	"C1"	9	4	723.257853769326	-111.190627608769
"136"	"C1"	9	5	736.659523504442	-124.073523031558
"137"	"C1"	9	6	751.876903332702	-113.179262472689
"138"	"C1"	9	7	766.40258407786	-118.799317522899
"139"	"C1"	9	8	771.676789586519	-142.144161577618
"140"	"C1"	9	9	764.846261140879	-150.444550574851
"141"	"C1"	9	10	759.655308238239	-155.83060541059
"142"	"C1"	9	11	756.481260989333	-167.317633549489
"143"	"C1"	9	12	753.760649061699	-172.456567190575
"144"	"C1"	9	13	734.716365568261	-172.003131869303
"145"	"C1"	9	14	719.148419537911	-172.607712297666
"146"	"C1"	9	15	709.021697362829	-170.189390584214
"147"	"C1"	9	16	707.510246291922	-158.400072231133
"148"	"C1"	9	17	706.149940328105	-149.482510912777
"149"	"C1"	10	1	754.576306633622	-173.027272498519
"150"	"C1"	10	2	757.54085200297	-167.682875106751
"151"	"C1"	10	3	760.615658956062	-156.151081868119
"152"	"C1"	10	4	772.678988106878	-142.680819662991
"153"	"C1"	10	5	783.526905296914	-142.542972724432
"154"	"C1"	10	6	794.355610782586	-147.039407536522
"155"	"C1"	10	7	800.388660482373	-149.877365031086
"156"	"C1"	10	8	806.537537655888	-157.549070707533
"157"	"C1"	10	9	809.473568330958	-165.700807048289
"158"	"C1"	10	10	808.822380265614	-172.165109203088
"159"	"C1"	10	11	803.183524148661	-175.685795440983
"160"	"C1"	10	12	797.391781685806	-182.918146658675
"161"	"C1"	10	13	792.971531665712	-190.198242561842
"162"	"C1"	10	14	789.874512640995	-195.512021408033
"163"	"C1"	10	15	782.308465386887	-202.706280229727
"164"	"C1"	10	16	778.980308176626	-201.738116897366
"165"	"C1"	10	17	770.242365987312	-197.030365240599
"166"	"C1"	10	18	766.145642952246	-187.536093325513
"167"	"C1"	10	19	755.987946872784	-180.766535240819
"168"	"C1"	11	1	782.930227662159	-203.044114428461
"169"	"C1"	11	2	791.012229785052	-195.850414092589
"170"	"C1"	11	3	798.236473660552	-183.255273289948
"171"	"C1"	11	4	803.8632991527	-176.605956232723
"172"	"C1"	11	5	809.866226486472	-173.832040744358
"173"	"C1"	11	6	819.936984794061	-170.485773268181
"174"	"C1"	11	7	825.303242476745	-173.217928987592
"175"	"C1"	11	8	831.140331654952	-178.042290259643
"176"	"C1"	11	9	839.409481918835	-179.02209595945
"177"	"C1"	11	10	843.185130163361	-189.112503570658
"178"	"C1"	11	11	851.636710553613	-204.728212461761
"179"	"C1"	11	12	855.501955670781	-211.535032265736
"180"	"C1"	11	13	846.773127779106	-215.951170073879
"181"	"C1"	11	14	842.629556366821	-222.108504033894
"182"	"C1"	11	15	842.701160678778	-232.119389846498
"183"	"C1"	11	16	843.543691119991	-242.700779101304
"184"	"C1"	11	17	840.872525241652	-254.123620003629
"185"	"C1"	11	18	825.165061890518	-251.723402330606
"186"	"C1"	11	19	806.034038489322	-250.414894965496
"187"	"C1"	11	20	790.407175730488	-251.378326295159
"188"	"C1"	11	21	788.222676320968	-237.463513259779
"189"	"C1"	11	22	786.29851064588	-223.879020080246
"190"	"C1"	11	23	784.705204223485	-213.568039633908
"191"	"C1"	11	24	783.362695858331	-206.700769385708
"192"	"C1"	12	1	842.297838883741	-254.730219768347
"193"	"C1"	12	2	845.109615660625	-243.266647290064
"194"	"C1"	12	3	844.439900615618	-223.24438389416
"195"	"C1"	12	4	848.292093737768	-217.548946993665
"196"	"C1"	12	5	857.150004913256	-212.683244833468
"197"	"C1"	12	6	877.060072949412	-217.239474734754
"198"	"C1"	12	7	889.021753402721	-226.685317640035
"199"	"C1"	12	8	904.339259573964	-235.755872803301
"200"	"C1"	12	9	903.623267762154	-253.138208145365
"201"	"C1"	12	10	900.870162201058	-264.277625947308
