"ROI.name"	"Stage"	"Cell"	"ROI.id"	"point"	"x"	"y"
"Stage5.Stele"	"Stage5"	"Stele"	104	8	1094.89118519585	-399.306922899842
"Stage5.Stele"	"Stage5"	"Stele"	104	9	1097.90563486993	-405.874116832678
"Stage5.Stele"	"Stage5"	"Stele"	104	10	1099.19754187312	-408.45793083904
"Stage5.Stele"	"Stage5"	"Stele"	104	11	1090.15419285085	-409.103884340631
"Stage5.Stele"	"Stage5"	"Stele"	105	1	1073.05785487568	-432.854362661539
"Stage5.Stele"	"Stage5"	"Stele"	105	2	1073.45953858268	-408.914013724431
"Stage5.Stele"	"Stage5"	"Stele"	105	3	1090.16958079382	-409.545934123766
"Stage5.Stele"	"Stage5"	"Stele"	105	4	1089.52688686262	-433.336383109937
"Stage5.Stele"	"Stage5"	"Stele"	106	1	1090.60133938201	-409.589225173653
"Stage5.Stele"	"Stage5"	"Stele"	106	2	1106.27487819686	-408.204414515313
"Stage5.Stele"	"Stage5"	"Stele"	106	3	1107.97441855028	-414.121332782767
"Stage5.Stele"	"Stage5"	"Stele"	106	4	1109.34195504653	-420.463530878141
"Stage5.Stele"	"Stage5"	"Stele"	106	5	1111.18125308186	-425.858805115131
"Stage5.Stele"	"Stage5"	"Stele"	106	6	1114.1241299384	-431.621938959188
"Stage5.Stele"	"Stage5"	"Stele"	106	7	1115.35032862863	-433.829096601593
"Stage5.Stele"	"Stage5"	"Stele"	106	8	1090.08597451759	-433.261340645566
"Stage5.Stele"	"Stage5"	"Stele"	107	1	1072.85582483423	-452.010345775572
"Stage5.Stele"	"Stage5"	"Stele"	107	2	1072.91803380007	-433.409864990147
"Stage5.Stele"	"Stage5"	"Stele"	107	3	1099.85451600772	-433.84532775101
"Stage5.Stele"	"Stage5"	"Stele"	107	4	1099.54566743306	-447.282464371919
"Stage5.Stele"	"Stage5"	"Stele"	108	1	1072.75130200363	-473.731341871002
"Stage5.Stele"	"Stage5"	"Stele"	108	2	1072.75130200363	-452.546648119294
"Stage5.Stele"	"Stage5"	"Stele"	108	3	1099.43817970931	-447.692242862794
"Stage5.Stele"	"Stage5"	"Stele"	108	4	1099.00472616219	-455.405931938543
"Stage5.Stele"	"Stage5"	"Stele"	108	5	1100.17443317916	-463.463913610972
"Stage5.Stele"	"Stage5"	"Stele"	108	6	1100.30440062549	-471.002025498082
"Stage5.Stele"	"Stage5"	"Stele"	108	7	1100.8242704108	-474.901048887967
"Stage5.Stele"	"Stage5"	"Stele"	109	1	1072.15994494043	-485.820481892402
"Stage5.Stele"	"Stage5"	"Stele"	109	2	1072.60641249633	-474.084763280323
"Stage5.Stele"	"Stage5"	"Stele"	109	3	1100.86143067649	-475.360384868592
"Stage5.Stele"	"Stage5"	"Stele"	109	4	1100.28740096177	-479.123468553987
"Stage5.Stele"	"Stage5"	"Stele"	109	5	1099.90471448529	-483.205457636449
"Stage5.Stele"	"Stage5"	"Stele"	109	6	1099.77715232646	-486.968541321844
"Stage5.Stele"	"Stage5"	"Stele"	110	1	1071.75573502421	-506.205572527481
"Stage5.Stele"	"Stage5"	"Stele"	110	2	1071.98252963556	-486.247646728907
"Stage5.Stele"	"Stage5"	"Stele"	110	3	1099.80266862751	-487.532816193209
"Stage5.Stele"	"Stage5"	"Stele"	110	4	1099.95386503507	-491.615119197463
"Stage5.Stele"	"Stage5"	"Stele"	110	5	1099.72707042373	-497.133788073584
"Stage5.Stele"	"Stage5"	"Stele"	110	6	1100.10506144264	-502.80365335727
"Stage5.Stele"	"Stage5"	"Stele"	110	7	1100.63424886912	-506.583563546394
"Stage5.Stele"	"Stage5"	"Stele"	111	1	1069.93780060059	-517.713931526212
"Stage5.Stele"	"Stage5"	"Stele"	111	2	1069.48372247496	-513.821833306494
"Stage5.Stele"	"Stage5"	"Stele"	111	3	1069.80806399327	-512.005520803959
"Stage5.Stele"	"Stage5"	"Stele"	111	4	1070.97569345919	-509.735130175789
"Stage5.Stele"	"Stage5"	"Stele"	111	5	1071.62437649581	-507.594476154944
"Stage5.Stele"	"Stage5"	"Stele"	111	6	1071.62437649581	-506.556583296353
"Stage5.Stele"	"Stage5"	"Stele"	111	7	1100.75024484003	-507.010661421987
"Stage5.Stele"	"Stage5"	"Stele"	111	8	1100.16643010707	-511.032496249029
"Stage5.Stele"	"Stage5"	"Stele"	111	9	1098.86906403383	-515.573277505367
"Stage5.Stele"	"Stage5"	"Stele"	111	10	1097.17383597058	-523.963496823112
"Stage5.Stele"	"Stage5"	"Stele"	111	11	1094.8832851648	-526.063168395081
