"ROI.name"	"ROI.id"	"point"	"x"	"y"
"Guard-cell"	2	2	864.082804817541	-198.256562323619
"Guard-cell"	2	3	861.231770182356	-182.685527008379
"Guard-cell"	2	4	862.32832196512	-166.675870980033
"Guard-cell"	2	5	872.19728800999	-147.815180316503
"Guard-cell"	2	6	883.382116194177	-138.384834984738
"Guard-cell"	2	7	898.514530796311	-132.024834644711
"Guard-cell"	2	8	911.892462546024	-130.708972505395
"Guard-cell"	2	9	930.753153209555	-141.455179976476
"Guard-cell"	2	10	934.920049984055	-146.499318177187
"Guard-cell"	2	11	915.840048963973	-170.842767754534
"Guard-cell"	2	12	904.435910423234	-171.062078111087
"Guard-cell"	2	13	894.34763402181	-178.957250946983
"Guard-cell"	2	14	891.715909743178	-190.580699844275
"Guard-cell"	2	15	891.05797867352	-195.186217331881
"Guard-cell"	3	1	874.887680094085	-215.857996641245
"Guard-cell"	3	2	891.907567623038	-195.23774828886
"Guard-cell"	3	3	901.235775211022	-190.982776406621
"Guard-cell"	3	4	909.091107916693	-187.055110053786
"Guard-cell"	3	5	916.619135092961	-178.217860759906
"Guard-cell"	3	6	916.619135092961	-171.017139113041
"Guard-cell"	3	7	936.447833167573	-146.700786677403
"Guard-cell"	3	8	941.603451868695	-153.496829510701
"Guard-cell"	3	9	945.352992742239	-162.87068169456
"Guard-cell"	3	10	948.63384100659	-175.291035838174
"Guard-cell"	3	11	948.63384100659	-190.757891941543
"Guard-cell"	3	12	937.853910995152	-211.146020441437
"Guard-cell"	3	13	926.60528837452	-220.98856523449
"Guard-cell"	3	14	913.95058792631	-227.081569153998
"Guard-cell"	3	15	898.249385518345	-228.95633959077
"Guard-cell"	3	16	884.422953547152	-224.035067194244
"Guard-cell"	4	1	976.24055106457	-246.266965065484
"Guard-cell"	4	2	971.30324253045	-240.431964070615
"Guard-cell"	4	3	966.66516481658	-235.045809306121
"Guard-cell"	4	4	968.759780558328	-226.96657715938
"Guard-cell"	4	5	977.437474345568	-213.201959427895
"Guard-cell"	4	6	980.429782548065	-210.957728276022
"Guard-cell"	4	7	987.012860593558	-219.186575832888
"Guard-cell"	4	8	991.650938307428	-228.911577491003
"Guard-cell"	4	9	992.698246178302	-233.100808974498
"Guard-cell"	4	10	993.147092408676	-236.093117176995
"Guard-cell"	4	11	991.650938307428	-239.983117840241
"Guard-cell"	4	12	981.477090418939	-245.070041784485
"Guard-cell"	4	13	978.484782216442	-248.211965397107
"Guard-cell"	5	1	746.436069419256	-823.054374957529
"Guard-cell"	5	2	746.357081475402	-810.337315997052
"Guard-cell"	5	3	751.886237545174	-792.644016573781
"Guard-cell"	5	4	756.388550344846	-782.533559760483
"Guard-cell"	5	5	766.262043326582	-777.873271073104
"Guard-cell"	5	6	777.79428312925	-777.952259016958
"Guard-cell"	5	7	787.74676405484	-779.847969669451
"Guard-cell"	5	8	794.03325342727	-785.511805484691
"Guard-cell"	5	9	795.256301017542	-786.27714470271
"Guard-cell"	5	10	795.256301017542	-788.822417358883
"Guard-cell"	5	11	782.317831681997	-800.629654402796
"Guard-cell"	5	12	778.9241348071	-801.053866512158
"Guard-cell"	5	13	773.267973348938	-802.89211898606
"Guard-cell"	5	14	767.965321981912	-808.83108851713
"Guard-cell"	5	15	752.481579990194	-818.658669050686
"Guard-cell"	6	1	746.896120550259	-823.607810326578
"Guard-cell"	6	2	748.451564951253	-827.567123347291
"Guard-cell"	6	3	750.289817425156	-830.183098021691
"Guard-cell"	6	4	761.487545498119	-833.87171129808
"Guard-cell"	6	5	766.84366770319	-833.412615109074
"Guard-cell"	6	6	773.883142601283	-832.035326542056
"Guard-cell"	6	7	780.463521310371	-828.515589093009
"Guard-cell"	6	8	792.246990161527	-819.945793564895
"Guard-cell"	6	9	797.909176492603	-813.365414855808
"Guard-cell"	6	10	800.357689500635	-807.856260587735
"Guard-cell"	6	11	800.964538796869	-798.866125019565
"Guard-cell"	6	12	801.455465965273	-794.614127988454
"Guard-cell"	6	13	800.873224435331	-793.74076569354
"Guard-cell"	6	14	797.476815510669	-789.470994473965
"Guard-cell"	6	15	795.584530538357	-789.131353581499
"Guard-cell"	6	16	782.823737007127	-800.824704307836
"Guard-cell"	6	17	781.465173437262	-803.105150300109
"Guard-cell"	6	18	778.748046297532	-806.11339820481
"Guard-cell"	6	19	768.587878310708	-809.107823310161
"Guard-cell"	6	20	752.896330982488	-819.138495969339
