"ROI.name"	"Cell"	"Type"	"ROI.id"	"point"	"x"	"y"
"Parenchima.palisade"	"Parenchima"	"palisade"	15	5	459.807744866832	-438.974941332477
"Parenchima.palisade"	"Parenchima"	"palisade"	15	6	486.271575330381	-434.905509690703
"Parenchima.palisade"	"Parenchima"	"palisade"	15	7	485.815835051782	-451.025839640593
"Parenchima.palisade"	"Parenchima"	"palisade"	15	8	492.01617390099	-482.913296579382
"Parenchima.palisade"	"Parenchima"	"palisade"	15	9	489.358885822758	-499.74278774152
"Parenchima.palisade"	"Parenchima"	"palisade"	15	10	466.033801580496	-515.39126198
"Parenchima.palisade"	"Parenchima"	"palisade"	16	1	512.540299068577	-394.7343397722
"Parenchima.palisade"	"Parenchima"	"palisade"	16	2	538.927431564218	-389.156571927593
"Parenchima.palisade"	"Parenchima"	"palisade"	16	3	599.489515486646	-402.178117647482
"Parenchima.palisade"	"Parenchima"	"palisade"	16	4	617.384996221401	-421.222541222122
"Parenchima.palisade"	"Parenchima"	"palisade"	16	5	619.97554637913	-461.624619030416
"Parenchima.palisade"	"Parenchima"	"palisade"	16	6	589.221659625774	-482.986245119016
"Parenchima.palisade"	"Parenchima"	"palisade"	16	7	554.839587939336	-487.89796964565
"Parenchima.palisade"	"Parenchima"	"palisade"	16	8	538.467172850556	-487.89796964565
"Parenchima.palisade"	"Parenchima"	"palisade"	16	9	515.545791726263	-484.623486627894
"Parenchima.palisade"	"Parenchima"	"palisade"	16	10	493.186407826218	-482.192415790274
"Parenchima.palisade"	"Parenchima"	"palisade"	16	11	487.595900616214	-450.911265150235
"Parenchima.palisade"	"Parenchima"	"palisade"	16	12	488.223473706194	-434.437471538274
"Parenchima.palisade"	"Parenchima"	"palisade"	17	1	621.648268501479	-460.767836652931
"Parenchima.palisade"	"Parenchima"	"palisade"	17	2	618.671025836242	-420.475819250057
"Parenchima.palisade"	"Parenchima"	"palisade"	17	3	619.811809104486	-400.703215552853
"Parenchima.palisade"	"Parenchima"	"palisade"	17	4	622.194908130236	-390.533545650474
"Parenchima.palisade"	"Parenchima"	"palisade"	17	5	665.909942791335	-383.954975889817
"Parenchima.palisade"	"Parenchima"	"palisade"	17	6	708.385271482049	-383.954975889817
"Parenchima.palisade"	"Parenchima"	"palisade"	17	7	733.19562702569	-409.956228499553
"Parenchima.palisade"	"Parenchima"	"palisade"	17	8	747.287908974479	-454.614868478108
"Parenchima.palisade"	"Parenchima"	"palisade"	17	9	735.810054833306	-505.86229266279
"Parenchima.palisade"	"Parenchima"	"palisade"	17	10	673.836019346001	-516.728484170667
"Parenchima.palisade"	"Parenchima"	"palisade"	17	11	652.214626531245	-494.311437347934
"Parenchima.palisade"	"Parenchima"	"palisade"	18	1	630.884812407467	-337.919713633741
"Parenchima.palisade"	"Parenchima"	"palisade"	18	2	645.652511975008	-336.18233721403
"Parenchima.palisade"	"Parenchima"	"palisade"	18	3	657.814146912983	-331.62172411229
"Parenchima.palisade"	"Parenchima"	"palisade"	18	4	703.42027793039	-330.970207954898
"Parenchima.palisade"	"Parenchima"	"palisade"	18	5	728.177891911269	-330.318691797507
"Parenchima.palisade"	"Parenchima"	"palisade"	18	6	737.29911811475	-347.47528394215
"Parenchima.palisade"	"Parenchima"	"palisade"	18	7	730.132440383443	-369.192489188535
"Parenchima.palisade"	"Parenchima"	"palisade"	18	8	719.708181865179	-377.445027182161
"Parenchima.palisade"	"Parenchima"	"palisade"	18	9	709.283923346914	-382.005640283901
"Parenchima.palisade"	"Parenchima"	"palisade"	18	10	666.283856959073	-382.005640283901
"Parenchima.palisade"	"Parenchima"	"palisade"	18	11	622.63227441384	-388.955145962744
"Parenchima.palisade"	"Parenchima"	"palisade"	19	1	730.035030926324	-329.364641859783
"Parenchima.palisade"	"Parenchima"	"palisade"	19	2	762.945375790981	-341.640722880727
"Parenchima.palisade"	"Parenchima"	"palisade"	19	3	798.206459574542	-350.52129212992
"Parenchima.palisade"	"Parenchima"	"palisade"	19	4	821.713848763583	-335.110892550438
"Parenchima.palisade"	"Parenchima"	"palisade"	19	5	831.639190865623	-317.872140478475
"Parenchima.palisade"	"Parenchima"	"palisade"	19	6	838.169021195912	-292.797592010164
"Parenchima.palisade"	"Parenchima"	"palisade"	19	7	839.47498726197	-236.567763773219
"Parenchima.palisade"	"Parenchima"	"palisade"	19	8	824.459999336236	-209.632905947005
"Parenchima.palisade"	"Parenchima"	"palisade"	19	9	765.518078127705	-222.193292802828
"Parenchima.palisade"	"Parenchima"	"palisade"	19	10	745.656188127786	-223.492668784131
"Parenchima.palisade"	"Parenchima"	"palisade"	19	11	737.674307099782	-275.282082896069
"Parenchima.palisade"	"Parenchima"	"palisade"	19	12	731.363052333452	-300.341476821199
"Parenchima.palisade"	"Parenchima"	"palisade"	19	13	731.501316008605	-322.379807535316
"Parenchima.palisade"	"Parenchima"	"palisade"	20	1	840.923081927775	-236.771673877347
"Parenchima.palisade"	"Parenchima"	"palisade"	20	2	862.623008729485	-213.132735416656
"Parenchima.palisade"	"Parenchima"	"palisade"	20	3	881.663631762862	-226.199889321908
"Parenchima.palisade"	"Parenchima"	"palisade"	20	4	907.656102893839	-234.438193112581
"Parenchima.palisade"	"Parenchima"	"palisade"	20	5	912.094458578445	-260.306564697996
"Parenchima.palisade"	"Parenchima"	"palisade"	20	6	897.94474421169	-321.127053430335
"Parenchima.palisade"	"Parenchima"	"palisade"	20	7	885.802897639682	-335.476508469981
"Parenchima.palisade"	"Parenchima"	"palisade"	20	8	875.316757418403	-345.410746574351
"Parenchima.palisade"	"Parenchima"	"palisade"	20	9	861.519204495666	-350.929767743446
"Parenchima.palisade"	"Parenchima"	"palisade"	20	10	843.030483579199	-352.309523035719
"Parenchima.palisade"	"Parenchima"	"palisade"	20	11	831.748779834216	-352.425516872233
"Parenchima.palisade"	"Parenchima"	"palisade"	20	12	823.368711120818	-336.286505505345
"Parenchima.palisade"	"Parenchima"	"palisade"	20	13	833.058525067589	-318.897935272099
"Parenchima.palisade"	"Parenchima"	"palisade"	20	14	839.695383935241	-293.545134397671
"Parenchima.palisade"	"Parenchima"	"palisade"	21	1	899.871092403907	-321.691709901682
"Parenchima.palisade"	"Parenchima"	"palisade"	21	2	897.347237304993	-349.541835523203
"Parenchima.palisade"	"Parenchima"	"palisade"	21	3	911.859855037409	-367.780024771047
"Parenchima.palisade"	"Parenchima"	"palisade"	21	4	927.730287626028	-372.265147024353
"Parenchima.palisade"	"Parenchima"	"palisade"	21	5	961.88621863197	-372.610156428453
"Parenchima.palisade"	"Parenchima"	"palisade"	21	6	988.796952151802	-335.694150189708
"Parenchima.palisade"	"Parenchima"	"palisade"	21	7	995.697140233811	-286.012795999248
"Parenchima.palisade"	"Parenchima"	"palisade"	21	8	1000.52727189122	-265.657241157323
"Parenchima.palisade"	"Parenchima"	"palisade"	21	9	992.607548342732	-260.425877670742
"Parenchima.palisade"	"Parenchima"	"palisade"	21	10	981.008097625665	-244.672345892485
"Parenchima.palisade"	"Parenchima"	"palisade"	21	11	960.528920290294	-244.635751868331
"Parenchima.palisade"	"Parenchima"	"palisade"	21	12	929.28756989654	-242.026686710994
"Parenchima.palisade"	"Parenchima"	"palisade"	21	13	914.161949837082	-262.252842800778
"Parenchima.palisade"	"Parenchima"	"palisade"	22	1	1044.14198216116	-285.926011573663
"Parenchima.palisade"	"Parenchima"	"palisade"	22	2	1046.67727234617	-314.458411029394
"Parenchima.palisade"	"Parenchima"	"palisade"	22	3	1057.88291728263	-343.8732289876
"Parenchima.palisade"	"Parenchima"	"palisade"	22	4	1080.64438355981	-365.233989647726
"Parenchima.palisade"	"Parenchima"	"palisade"	22	5	1111.10973073081	-373.638223350071
"Parenchima.palisade"	"Parenchima"	"palisade"	22	6	1128.57603838721	-367.195207150456
"Parenchima.palisade"	"Parenchima"	"palisade"	22	7	1153.6834029787	-360.918366002585
"Parenchima.palisade"	"Parenchima"	"palisade"	22	8	1163.72634881529	-340.832474329398
"Parenchima.palisade"	"Parenchima"	"palisade"	22	9	1150.34383319713	-303.309352844747
"Parenchima.palisade"	"Parenchima"	"palisade"	22	10	1147.33301669227	-278.796380384643
"Parenchima.palisade"	"Parenchima"	"palisade"	22	11	1146.02032714814	-266.96024504181
"Parenchima.palisade"	"Parenchima"	"palisade"	22	12	1125.10277611646	-271.928163411834
"Parenchima.palisade"	"Parenchima"	"palisade"	22	13	1096.3411434479	-282.909877703466
"Parenchima.palisade"	"Parenchima"	"palisade"	22	14	1063.39600057301	-287.87779607349
"Parenchima.palisade"	"Parenchima"	"palisade"	23	1	1148.32413793709	-264.276715769723
"Parenchima.palisade"	"Parenchima"	"palisade"	23	2	1153.64514563715	-238.938583864668
"Parenchima.palisade"	"Parenchima"	"palisade"	23	3	1180.50356545651	-235.898008036061
"Parenchima.palisade"	"Parenchima"	"palisade"	23	4	1233.96702377618	-246.033260798083
"Parenchima.palisade"	"Parenchima"	"palisade"	23	5	1240.55493807149	-253.6347003696
"Parenchima.palisade"	"Parenchima"	"palisade"	23	6	1278.18238430529	-267.027621418044
"Parenchima.palisade"	"Parenchima"	"palisade"	23	7	1286.16357550059	-307.098158689266
"Parenchima.palisade"	"Parenchima"	"palisade"	23	8	1286.41695681964	-326.101757618057
"Parenchima.palisade"	"Parenchima"	"palisade"	23	9	1279.06889856717	-355.493990627921
"Parenchima.palisade"	"Parenchima"	"palisade"	23	10	1282.61623703388	-380.071978575824
"Parenchima.palisade"	"Parenchima"	"palisade"	23	11	1238.73519959499	-450.968114138269
"Parenchima.palisade"	"Parenchima"	"palisade"	23	12	1193.06754246707	-445.259656997278
"Parenchima.palisade"	"Parenchima"	"palisade"	23	13	1174.67362501276	-437.648380809291
"Parenchima.palisade"	"Parenchima"	"palisade"	23	14	1160.71961866812	-432.574196683966
"Parenchima.palisade"	"Parenchima"	"palisade"	23	15	1144.22852026081	-432.574196683966
"Parenchima.palisade"	"Parenchima"	"palisade"	23	16	1153.39511132862	-379.342431425753
"Parenchima.palisade"	"Parenchima"	"palisade"	23	17	1154.75313721267	-362.605267088627
"Parenchima.palisade"	"Parenchima"	"palisade"	23	18	1167.5351410618	-340.068576091468
"Parenchima.palisade"	"Parenchima"	"palisade"	23	19	1153.40766312329	-302.395301588753
"Parenchima.palisade"	"Parenchima"	"palisade"	24	1	1002.43826069915	-266.907293110906
"Parenchima.palisade"	"Parenchima"	"palisade"	24	2	1032.11516372222	-286.227001925316
"Parenchima.palisade"	"Parenchima"	"palisade"	24	3	1041.57520870111	-285.984436669447
"Parenchima.palisade"	"Parenchima"	"palisade"	24	4	1044.97112228327	-314.36457160611
"Parenchima.palisade"	"Parenchima"	"palisade"	24	5	1055.15886302977	-343.472402310379
"Parenchima.palisade"	"Parenchima"	"palisade"	24	6	1066.27613126354	-370.210601565795
"Parenchima.palisade"	"Parenchima"	"palisade"	24	7	1044.83614870314	-378.918762115568
"Parenchima.palisade"	"Parenchima"	"palisade"	24	8	989.638862040766	-376.946407620289
"Parenchima.palisade"	"Parenchima"	"palisade"	24	9	990.380375128463	-337.416251975836
"Parenchima.palisade"	"Parenchima"	"palisade"	24	10	996.940889368176	-286.218513399251
"Parenchima.palisade"	"Parenchima"	"palisade"	25	1	1280.19670109526	-266.935979433523
"Parenchima.palisade"	"Parenchima"	"palisade"	25	2	1349.42718860318	-273.937771620344
"Parenchima.palisade"	"Parenchima"	"palisade"	25	3	1359.15278996248	-272.519454755446
"Parenchima.palisade"	"Parenchima"	"palisade"	25	4	1358.34232318254	-294.807291203847
"Parenchima.palisade"	"Parenchima"	"palisade"	25	5	1347.80625504329	-299.264858493527
"Parenchima.palisade"	"Parenchima"	"palisade"	25	6	1330.38121927454	-303.317192393236
"Parenchima.palisade"	"Parenchima"	"palisade"	25	7	1323.08701825507	-301.696258833353
"Parenchima.palisade"	"Parenchima"	"palisade"	25	8	1309.51169969104	-306.559059513004
"Parenchima.palisade"	"Parenchima"	"palisade"	25	9	1299.78609833174	-308.179993072887
"Parenchima.palisade"	"Parenchima"	"palisade"	25	10	1291.47881383733	-307.977376377902
"Parenchima.palisade"	"Parenchima"	"palisade"	25	11	1287.8317133276	-306.356442818018
"Parenchima.palisade"	"Parenchima"	"palisade"	26	1	1284.28902247625	-378.279756536318
"Parenchima.palisade"	"Parenchima"	"palisade"	26	2	1281.07279387654	-356.057481392619
"Parenchima.palisade"	"Parenchima"	"palisade"	26	3	1288.41418524546	-324.734211551894
"Parenchima.palisade"	"Parenchima"	"palisade"	26	4	1288.41418524546	-309.072576631531
"Parenchima.palisade"	"Parenchima"	"palisade"	26	5	1292.08488092992	-310.540854905315
"Parenchima.palisade"	"Parenchima"	"palisade"	26	6	1301.13926361825	-310.051428814054
"Parenchima.palisade"	"Parenchima"	"palisade"	26	7	1310.68307239785	-308.093724449009
"Parenchima.palisade"	"Parenchima"	"palisade"	26	8	1323.40815077064	-303.199463536395
"Parenchima.palisade"	"Parenchima"	"palisade"	26	9	1330.74954213956	-304.91245485581
"Parenchima.palisade"	"Parenchima"	"palisade"	26	10	1348.6135944706	-300.507620034458
"Parenchima.palisade"	"Parenchima"	"palisade"	26	11	1358.89154238709	-296.347498258737
"Parenchima.palisade"	"Parenchima"	"palisade"	26	12	1368.68006421232	-335.991011650905
"Parenchima.palisade"	"Parenchima"	"palisade"	26	13	1364.03051634533	-367.069568445999
"Parenchima.palisade"	"Parenchima"	"palisade"	26	14	1360.84924675213	-376.613377225595
"Parenchima.palisade"	"Parenchima"	"palisade"	26	15	1333.49193678502	-385.664481541102
"Parenchima.palisade"	"Parenchima"	"palisade"	26	16	1305.13624336355	-386.413552052995
"Parenchima.palisade"	"Parenchima"	"palisade"	27	1	1240.43294908547	-451.003059017427
"Parenchima.palisade"	"Parenchima"	"palisade"	27	2	1284.41621954692	-379.966586486431
"Parenchima.palisade"	"Parenchima"	"palisade"	27	3	1304.48795011465	-387.122594775794
"Parenchima.palisade"	"Parenchima"	"palisade"	27	4	1334.33374078492	-386.598984413158
"Parenchima.palisade"	"Parenchima"	"palisade"	27	5	1361.38694285446	-377.697608248341
"Parenchima.palisade"	"Parenchima"	"palisade"	27	6	1359.81611176655	-414.699407207975
"Parenchima.palisade"	"Parenchima"	"palisade"	27	7	1361.38694285446	-443.148903577882
"Parenchima.palisade"	"Parenchima"	"palisade"	27	8	1341.66428586183	-450.1303750797
"Parenchima.palisade"	"Parenchima"	"palisade"	27	9	1305.18609726483	-459.555361607154
"Parenchima.palisade"	"Parenchima"	"palisade"	27	10	1288.60510244801	-468.456737771971
"Parenchima.palisade"	"Parenchima"	"palisade"	27	11	1272.37318120629	-471.598399947789
"Parenchima.palisade"	"Parenchima"	"palisade"	27	12	1260.67921644074	-471.772936735335
"Parenchima.palisade"	"Parenchima"	"palisade"	27	13	1257.71209105247	-462.347950207881
"Parenchima.palisade"	"Parenchima"	"palisade"	27	14	1247.76349416238	-453.795647618154
"Parenchima.palisade"	"Parenchima"	"palisade"	28	1	749.275937311072	-457.519517474959
"Parenchima.palisade"	"Parenchima"	"palisade"	28	2	780.356518118356	-463.53511376024
"Parenchima.palisade"	"Parenchima"	"palisade"	28	3	816.45009583004	-463.53511376024
"Parenchima.palisade"	"Parenchima"	"palisade"	28	4	822.131492321694	-456.851117887706
"Parenchima.palisade"	"Parenchima"	"palisade"	28	5	818.789494385427	-430.115134397569
"Parenchima.palisade"	"Parenchima"	"palisade"	28	6	825.473490257961	-404.381750288313
"Parenchima.palisade"	"Parenchima"	"palisade"	28	7	836.167883654016	-384.998162257964
"Parenchima.palisade"	"Parenchima"	"palisade"	28	8	844.24746947665	-364.249068181308
"Parenchima.palisade"	"Parenchima"	"palisade"	28	9	848.01726741514	-360.979688163147
"Parenchima.palisade"	"Parenchima"	"palisade"	28	10	843.631332679855	-353.735412932181
"Parenchima.palisade"	"Parenchima"	"palisade"	28	11	831.889229451254	-354.08994318966
"Parenchima.palisade"	"Parenchima"	"palisade"	28	12	821.65351362476	-353.048705595454
"Parenchima.palisade"	"Parenchima"	"palisade"	28	13	798.280882001926	-352.051792244131
"Parenchima.palisade"	"Parenchima"	"palisade"	28	14	762.506931897655	-342.201665222602
"Parenchima.palisade"	"Parenchima"	"palisade"	28	15	745.575807296103	-336.467595494999
"Parenchima.palisade"	"Parenchima"	"palisade"	28	16	738.485523510202	-347.283869348468
"Parenchima.palisade"	"Parenchima"	"palisade"	28	17	731.818137036901	-369.895006084011
"Parenchima.palisade"	"Parenchima"	"palisade"	28	18	728.831710134609	-376.401510493678
"Parenchima.palisade"	"Parenchima"	"palisade"	28	19	726.135169600722	-400.16432388175
"Parenchima.palisade"	"Parenchima"	"palisade"	28	20	734.282171168339	-409.174609002807
"Parenchima.palisade"	"Parenchima"	"palisade"	29	1	863.664619886673	-351.290667570801
"Parenchima.palisade"	"Parenchima"	"palisade"	29	2	875.974805673342	-346.937065280393
"Parenchima.palisade"	"Parenchima"	"palisade"	29	3	899.544307728306	-364.201350225112
"Parenchima.palisade"	"Parenchima"	"palisade"	29	4	912.755238816439	-369.005325166251
"Parenchima.palisade"	"Parenchima"	"palisade"	29	5	921.762691831075	-388.371349147718
"Parenchima.palisade"	"Parenchima"	"palisade"	29	6	930.019523761158	-418.095944096017
"Parenchima.palisade"	"Parenchima"	"palisade"	29	7	934.074968752854	-445.368253102236
"Parenchima.palisade"	"Parenchima"	"palisade"	29	8	926.564575637104	-460.991627336487
"Parenchima.palisade"	"Parenchima"	"palisade"	29	9	903.201769675891	-472.1070927932
"Parenchima.palisade"	"Parenchima"	"palisade"	29	10	883.755051638108	-472.023106297672
"Parenchima.palisade"	"Parenchima"	"palisade"	29	11	872.16059760787	-471.250142695656
"Parenchima.palisade"	"Parenchima"	"palisade"	29	12	859.020216373601	-467.642979219582
"Parenchima.palisade"	"Parenchima"	"palisade"	29	13	834.800690177105	-461.974579471466
"Parenchima.palisade"	"Parenchima"	"palisade"	29	14	823.979199748883	-457.079143325366
"Parenchima.palisade"	"Parenchima"	"palisade"	29	15	820.111482242329	-429.731857989358
"Parenchima.palisade"	"Parenchima"	"palisade"	29	16	826.67018786506	-404.590153102222
"Parenchima.palisade"	"Parenchima"	"palisade"	29	17	837.576199947634	-385.598727193596
"Parenchima.palisade"	"Parenchima"	"palisade"	29	18	845.139833285645	-365.24738881997
"Parenchima.palisade"	"Parenchima"	"palisade"	30	1	935.223883830401	-443.434463814786
"Parenchima.palisade"	"Parenchima"	"palisade"	30	2	952.354114950874	-442.350271971718
"Parenchima.palisade"	"Parenchima"	"palisade"	30	3	973.82111344362	-440.615565022809
"Parenchima.palisade"	"Parenchima"	"palisade"	30	4	990.083991089639	-414.378122420565
"Parenchima.palisade"	"Parenchima"	"palisade"	30	5	988.999799246571	-389.441710030002
"Parenchima.palisade"	"Parenchima"	"palisade"	30	6	988.999799246571	-378.816629967937
"Parenchima.palisade"	"Parenchima"	"palisade"	30	7	983.028142446341	-378.34079552376
"Parenchima.palisade"	"Parenchima"	"palisade"	30	8	962.111841538486	-374.263024227051
"Parenchima.palisade"	"Parenchima"	"palisade"	30	9	927.851379297539	-373.612509121211
"Parenchima.palisade"	"Parenchima"	"palisade"	30	10	923.514611925267	-387.707003081094
"Parenchima.palisade"	"Parenchima"	"palisade"	30	11	930.882167523629	-416.170508407922
"Parenchima.palisade"	"Parenchima"	"palisade"	31	1	991.080799961614	-378.778993054061
"Parenchima.palisade"	"Parenchima"	"palisade"	31	2	1041.3544049161	-380.505948949444
"Parenchima.palisade"	"Parenchima"	"palisade"	31	3	1042.46040539649	-418.246229857193
"Parenchima.palisade"	"Parenchima"	"palisade"	31	4	1059.16849313019	-466.609653243169
"Parenchima.palisade"	"Parenchima"	"palisade"	31	5	1045.00020069525	-485.274606602695
"Parenchima.palisade"	"Parenchima"	"palisade"	31	6	1011.61238671784	-485.850258567823
"Parenchima.palisade"	"Parenchima"	"palisade"	31	7	991.656451926742	-484.315186660816
"Parenchima.palisade"	"Parenchima"	"palisade"	31	8	974.962544938037	-441.525057252986
"Parenchima.palisade"	"Parenchima"	"palisade"	31	9	991.848335915118	-414.853182868734
"Parenchima.palisade"	"Parenchima"	"palisade"	32	1	1061.37004495447	-466.432884497467
"Parenchima.palisade"	"Parenchima"	"palisade"	32	2	1090.40448387419	-471.271957650754
"Parenchima.palisade"	"Parenchima"	"palisade"	32	3	1114.33101224323	-476.111030804042
"Parenchima.palisade"	"Parenchima"	"palisade"	32	4	1129.1170691005	-464.551022715632
"Parenchima.palisade"	"Parenchima"	"palisade"	32	5	1141.21475198371	-446.538917089505
"Parenchima.palisade"	"Parenchima"	"palisade"	32	6	1142.02126417593	-433.365884616666
"Parenchima.palisade"	"Parenchima"	"palisade"	32	7	1151.4305730851	-379.867242533095
"Parenchima.palisade"	"Parenchima"	"palisade"	32	8	1141.91561834688	-366.184336799406
"Parenchima.palisade"	"Parenchima"	"palisade"	32	9	1129.1170691005	-369.1137466369
"Parenchima.palisade"	"Parenchima"	"palisade"	32	10	1112.9868252562	-375.565844174617
"Parenchima.palisade"	"Parenchima"	"palisade"	32	11	1079.38215058059	-367.500722252471
"Parenchima.palisade"	"Parenchima"	"palisade"	32	12	1044.16445152055	-381.749104314929
"Parenchima.palisade"	"Parenchima"	"palisade"	32	13	1044.43328891796	-419.386339951613
"Parenchima.palisade"	"Parenchima"	"palisade"	33	1	1130.92614917975	-465.479023093134
"Parenchima.palisade"	"Parenchima"	"palisade"	33	2	1129.89494564686	-500.465036336641
"Parenchima.palisade"	"Parenchima"	"palisade"	33	3	1140.93247982027	-532.125331728803
"Parenchima.palisade"	"Parenchima"	"palisade"	33	4	1158.06970393162	-551.295785819469
"Parenchima.palisade"	"Parenchima"	"palisade"	33	5	1198.15338066665	-560.009628587954
"Parenchima.palisade"	"Parenchima"	"palisade"	33	6	1221.68075614156	-559.138244311105
"Parenchima.palisade"	"Parenchima"	"palisade"	33	7	1244.62720876524	-528.639794621409
"Parenchima.palisade"	"Parenchima"	"palisade"	33	8	1256.5361272155	-496.398576378015
"Parenchima.palisade"	"Parenchima"	"palisade"	33	9	1259.44074147166	-473.161662328723
"Parenchima.palisade"	"Parenchima"	"palisade"	33	10	1256.82658864112	-462.995512432157
"Parenchima.palisade"	"Parenchima"	"palisade"	33	11	1245.7890544677	-455.153053940521
"Parenchima.palisade"	"Parenchima"	"palisade"	33	12	1238.23705740168	-452.248439684359
"Parenchima.palisade"	"Parenchima"	"palisade"	33	13	1194.37738213364	-447.020134023268
"Parenchima.palisade"	"Parenchima"	"palisade"	33	14	1161.2647796134	-434.82075414739
"Parenchima.palisade"	"Parenchima"	"palisade"	33	15	1144.41801692767	-434.82075414739
"Parenchima.palisade"	"Parenchima"	"palisade"	33	16	1143.54663265082	-447.020134023268
"Parenchima.palisade"	"Parenchima"	"palisade"	34	1	1260.8770934754	-474.154783137967
"Parenchima.palisade"	"Parenchima"	"palisade"	34	2	1273.28952235336	-473.252061037752
"Parenchima.palisade"	"Parenchima"	"palisade"	34	3	1288.41011753196	-469.866853161945
"Parenchima.palisade"	"Parenchima"	"palisade"	34	4	1305.7875179611	-460.839632159795
"Parenchima.palisade"	"Parenchima"	"palisade"	34	5	1341.67072144465	-452.038091682698
"Parenchima.palisade"	"Parenchima"	"palisade"	34	6	1362.88469079971	-444.36495383087
"Parenchima.palisade"	"Parenchima"	"palisade"	34	7	1363.78741289992	-548.62935640571
"Parenchima.palisade"	"Parenchima"	"palisade"	34	8	1355.43723347293	-563.298590534205
"Parenchima.palisade"	"Parenchima"	"palisade"	34	9	1324.74468206562	-565.781076309797
"Parenchima.palisade"	"Parenchima"	"palisade"	34	10	1292.47236698293	-560.139063183453
"Parenchima.palisade"	"Parenchima"	"palisade"	34	11	1267.64750922702	-541.633260129044
"Parenchima.palisade"	"Parenchima"	"palisade"	34	12	1259.29732980003	-532.380358601839
"Parenchima.palisade"	"Parenchima"	"palisade"	34	13	1245.90029737865	-529.101920341681
"Parenchima.palisade"	"Parenchima"	"palisade"	34	14	1258.60731687759	-495.573760458918
"Parenchima.palisade"	"Parenchima"	"palisade"	35	1	1046.13532726286	-486.615437384709
"Parenchima.palisade"	"Parenchima"	"palisade"	35	2	1061.78123496944	-468.838467389102
"Parenchima.palisade"	"Parenchima"	"palisade"	35	3	1114.57481028888	-478.688015023327
"Parenchima.palisade"	"Parenchima"	"palisade"	35	4	1128.3641769768	-469.232449294471
"Parenchima.palisade"	"Parenchima"	"palisade"	35	5	1126.00028554458	-500.357019818622
"Parenchima.palisade"	"Parenchima"	"palisade"	35	6	1135.84983317881	-529.511680815927
"Parenchima.palisade"	"Parenchima"	"palisade"	35	7	1127.57621316606	-533.057517964248
"Parenchima.palisade"	"Parenchima"	"palisade"	35	8	1090.14793215601	-530.693626532034
"Parenchima.palisade"	"Parenchima"	"palisade"	35	9	1047.99186828152	-520.056115087071
"Parenchima.palisade"	"Parenchima"	"palisade"	35	10	1025.92888158086	-505.08480268305
"Parenchima.palisade"	"Parenchima"	"palisade"	35	11	1029.94646914238	-486.448192495701
