"ROI.name"	"Zone"	"Layer"	"ROI.id"	"point"	"x"	"y"
"OC.L3"	"OC"	"L3"	22	1	870.802974407861	-376.335624507913
"OC.L3"	"OC"	"L3"	22	2	888.387002697036	-430.769702577031
"OC.L3"	"OC"	"L3"	22	3	945.095675001202	-412.318336023827
"OC.L3"	"OC"	"L3"	22	4	948.54283247841	-396.614618627657
"OC.L3"	"OC"	"L3"	22	5	907.550686067279	-383.330338246002
"OC.L3"	"OC"	"L3"	23	1	796.225745434583	-533.874225821932
"OC.L3"	"OC"	"L3"	23	2	757.873510575954	-512.196875684446
"OC.L3"	"OC"	"L3"	23	3	766.136716231561	-469.873484896851
"OC.L3"	"OC"	"L3"	23	4	859.95340615422	-452.887726300328
"OC.L3"	"OC"	"L3"	23	5	871.606426586718	-490.019384627611
"OC.L3"	"OC"	"L3"	23	6	851.460526855958	-524.978445925107
"OC.L3"	"OC"	"L3"	24	1	860.981103402994	-451.729513414797
"OC.L3"	"OC"	"L3"	24	2	888.288339891522	-432.275338400094
"OC.L3"	"OC"	"L3"	24	3	944.713050841233	-414.01992815644
"OC.L3"	"OC"	"L3"	24	4	963.403416954999	-485.949518957901
"OC.L3"	"OC"	"L3"	24	5	944.429863475873	-512.002756571028
"OC.L3"	"OC"	"L3"	24	6	873.349834770493	-488.781392611501
"OC.L3"	"OC"	"L3"	25	1	946.282578011401	-413.770833320615
"OC.L3"	"OC"	"L3"	25	2	999.41865628206	-415.880930291652
"OC.L3"	"OC"	"L3"	25	3	1034.13934280549	-435.063630028351
"OC.L3"	"OC"	"L3"	25	4	1041.42876870543	-479.759320414862
"OC.L3"	"OC"	"L3"	25	5	1007.85904416621	-506.806927043609
"OC.L3"	"OC"	"L3"	25	6	964.889796756	-485.130476341138
"OC.L3"	"OC"	"L3"	26	1	738.328338497851	-604.321745060491
"OC.L3"	"OC"	"L3"	26	2	721.715950881649	-551.900433027144
"OC.L3"	"OC"	"L3"	26	3	756.950351665258	-512.990018037445
"OC.L3"	"OC"	"L3"	26	4	796.069382783361	-534.960624149145
"OC.L3"	"OC"	"L3"	26	5	794.82005857937	-583.684268104812
"OC.L3"	"OC"	"L3"	26	6	777.829249405086	-604.922779572667
"OC.L3"	"OC"	"L3"	27	1	797.670287537246	-535.428725984875
"OC.L3"	"OC"	"L3"	27	2	851.849176495835	-526.296334575152
"OC.L3"	"OC"	"L3"	27	3	870.599977199825	-557.839916897559
"OC.L3"	"OC"	"L3"	27	4	886.103812410233	-612.103340133987
"OC.L3"	"OC"	"L3"	27	5	852.304731640074	-644.666167709869
"OC.L3"	"OC"	"L3"	27	6	827.190780063203	-615.740277054365
"OC.L3"	"OC"	"L3"	27	7	779.653657435553	-605.649850081515
"OC.L3"	"OC"	"L3"	27	8	796.695267434144	-584.123605872768
"OC.L3"	"OC"	"L3"	28	1	853.178754433188	-524.656660802427
"OC.L3"	"OC"	"L3"	28	2	873.168899362149	-491.007990668715
"OC.L3"	"OC"	"L3"	28	3	943.540730749098	-513.534950857739
"OC.L3"	"OC"	"L3"	28	4	937.161414589375	-564.370126505535
"OC.L3"	"OC"	"L3"	28	5	935.566585549444	-574.337808005103
"OC.L3"	"OC"	"L3"	28	6	919.020234260161	-612.214997703461
"OC.L3"	"OC"	"L3"	28	7	887.522360721527	-611.218229553504
"OC.L3"	"OC"	"L3"	28	8	872.770192102166	-557.193395825846
"OC.L3"	"OC"	"L3"	29	1	946.068609523918	-513.580102312984
"OC.L3"	"OC"	"L3"	29	2	964.927120012767	-486.968648623164
"OC.L3"	"OC"	"L3"	29	3	1007.25399910996	-508.760705188056
"OC.L3"	"OC"	"L3"	29	4	1013.12109126205	-564.498080632876
"OC.L3"	"OC"	"L3"	29	5	1024.64573656079	-591.947690344423
"OC.L3"	"OC"	"L3"	29	6	993.005346740609	-618.768683039675
"OC.L3"	"OC"	"L3"	29	7	955.07878675748	-624.216697180898
"OC.L3"	"OC"	"L3"	29	8	920.295311855825	-612.272973871293
"OC.L3"	"OC"	"L3"	29	9	937.47751030122	-575.184569909891
"OC.L3"	"OC"	"L3"	30	1	1008.97588545707	-508.576175651781
"OC.L3"	"OC"	"L3"	30	2	1042.49939542769	-480.61266245678
"OC.L3"	"OC"	"L3"	30	3	1080.27466763848	-493.204419860377
"OC.L3"	"OC"	"L3"	30	4	1071.93467247506	-555.999677561433
"OC.L3"	"OC"	"L3"	30	5	1025.98293441777	-590.504363433627
"OC.L3"	"OC"	"L3"	30	6	1015.02647018347	-563.358496823275
